"접수연도","자치구코드","자치구명","법정동코드","법정동명","지번구분","지번구분명","본번","부번","건물명","계약일","물건금액(만원)","건물면적(㎡)","토지면적(㎡)","층","권리구분","취소일","건축년도","건물용도","신고구분","신고한 개업공인중개사 시군구명"
"2024","11230","동대문구","10400","전농동","1","대지","0103","0050","(103-50)","20241231","24000","44.04","20.000000","-1","","","1991","연립다세대","중개거래","서울 동대문구"
"2024","11680","강남구","10100","역삼동","1","대지","0736","0024","엘지역삼에클라트","20241231","19000","28.64","40.010000","11","","","2004","오피스텔","중개거래","서울 강남구, 서울 서초구"
"2024","11230","동대문구","10500","답십리동","1","대지","0994","0000","답십리한화","20241231","91500","84.86","0.000000","13","","","2001","아파트","중개거래","서울 동대문구"
"2024","11545","금천구","10300","시흥동","1","대지","0942","0002","아르떼빌","20241231","27000","25.28","18.000000","5","","","2021","연립다세대","중개거래","서울 영등포구"
"2024","11350","노원구","10500","상계동","1","대지","1285","0000","동아불암","20241231","70000","114.24","0.000000","4","","","1999","아파트","중개거래","서울 노원구"
"2024","11260","중랑구","10100","면목동","","","","","","20241231","65000","82.85","92.000000","","","","1978","단독다가구","중개거래","서울 중랑구"
"2024","11500","강서구","10300","화곡동","1","대지","0061","0053","리더스타운","20241231","21000","29.88","19.000000","5","","","2016","연립다세대","중개거래","서울 강서구"
"2024","11200","성동구","12200","용답동","1","대지","0232","0001","신창비바패밀리","20241231","26000","42.75","58.930000","3","","","2006","오피스텔","중개거래","서울 성동구"
"2024","11620","관악구","10100","봉천동","1","대지","1712","0000","관악드림(삼성)","20241231","82000","60","0.000000","19","","","2003","아파트","중개거래","서울 관악구"
"2024","11710","송파구","10100","잠실동","1","대지","0022","0000","리센츠","20241231","261500","84.99","0.000000","18","","20250116","2008","아파트","중개거래","서울 송파구"
"2024","11620","관악구","10100","봉천동","1","대지","0869","0006","서울대역 마에스트로","20241231","14900","20.18","31.150000","10","","","2012","오피스텔","직거래",""
"2024","11410","서대문구","12000","남가좌동","1","대지","0005","0132","(5-132)","20241231","9000","30.08","14.000000","-1","","","1992","연립다세대","중개거래","서울 서대문구"
