접수연도,자치구코드,자치구명,법정동코드,법정동명,건물명,계약일,물건금액(만원),건물면적(㎡),토지면적(㎡),층,건축년도,역개수,학교수
2024,11230,동대문구,10400,전농동,(103-50),20241231,24000,44.04,20.0,-1.0,1991.0,6,28
2024,11680,강남구,10100,역삼동,엘지역삼에클라트,20241231,19000,28.64,40.01,11.0,2004.0,21,4
2024,11230,동대문구,10500,답십리동,답십리한화,20241231,91500,84.86,0.0,13.0,2001.0,6,3
2024,11545,금천구,10300,시흥동,아르떼빌,20241231,27000,25.28,18.0,5.0,2021.0,1,57
2024,11350,노원구,10500,상계동,동아불암,20241231,70000,114.24,0.0,4.0,1999.0,13,48
2024,11260,중랑구,10100,면목동,,20241231,65000,82.85,92.0,,1978.0,8,15
2024,11500,강서구,10300,화곡동,리더스타운,20241231,21000,29.88,19.0,5.0,2016.0,9,42
2024,11200,성동구,12200,용답동,신창비바패밀리,20241231,26000,42.75,58.93,3.0,2006.0,14,0
2024,11620,관악구,10100,봉천동,관악드림(삼성),20241231,82000,60.0,0.0,19.0,2003.0,4,112
2024,11710,송파구,10100,잠실동,리센츠,20241231,261500,84.99,0.0,18.0,2008.0,28,23
2024,11620,관악구,10100,봉천동,서울대역 마에스트로,20241231,14900,20.18,31.15,10.0,2012.0,4,112
2024,11410,서대문구,12000,남가좌동,(5-132),20241231,9000,30.08,14.0,-1.0,1992.0,5,3
2024,11590,동작구,10100,노량진동,노량진 드림스퀘어 복합빌딩,20241231,21000,24.132,35.1473,10.0,2020.0,12,1
2024,11500,강서구,10300,화곡동,베아트리스,20241231,23000,29.97,18.0,2.0,2017.0,9,42
2024,11305,강북구,10200,번동,(521-6),20241231,12700,40.41,41.0,1.0,1988.0,3,3
2024,11710,송파구,10800,문정동,송파 아이파크,20241231,28200,29.83,42.745,13.0,2015.0,28,8
2024,11680,강남구,10600,대치동,대치동대우아이빌멤버스,20241230,34500,35.426,44.152,4.0,2003.0,21,37
2024,11500,강서구,10300,화곡동,리더스타운,20241230,20000,29.88,19.0,5.0,2016.0,9,42
2024,11560,영등포구,13300,대림동,테라펠리체대림,20241230,47500,46.02,27.0,4.0,2024.0,11,6
2024,11260,중랑구,10200,상봉동,건영1,20241230,71800,84.96,0.0,9.0,1997.0,8,4
2024,11215,광진구,10300,구의동,크레신타워3차,20241230,17000,25.35,35.29,13.0,2006.0,11,5
2024,11470,양천구,10300,신월동,조은팰리스가.나.다동,20241230,23000,43.13,26.0,4.0,2014.0,5,46
2024,11320,도봉구,10600,방학동,선덕빌라,20241230,11800,36.18,16.0,1.0,1994.0,3,23
2024,11230,동대문구,10600,장안동,장안현대벤처빌,20241230,13000,31.57,40.73,12.0,2004.0,6,5
2024,11410,서대문구,11700,연희동,,20241230,225500,315.26,237.0,,1970.0,5,6
2024,11710,송파구,11100,방이동,잠실파크웨이,20241230,19000,19.128,34.0906,13.0,2019.0,28,19
2024,11740,강동구,10900,천호동,래미안강동팰리스,20241230,145000,84.97,0.0,35.0,2017.0,15,14
2024,11680,강남구,10800,논현동,삼환 아르누보 3,20241230,28000,25.85,34.7,6.0,2005.0,21,2
2024,11350,노원구,10200,월계동,삼호4,20241230,60000,50.18,0.0,12.0,1987.0,13,71
2024,11140,중구,16700,정동,삼정아트테라스정동,20241230,33000,18.657,0.0,6.0,2020.0,23,7
2024,11290,성북구,13300,정릉동,현대빌라2차,20241230,9800,36.08,23.0,-1.0,1996.0,9,22
2024,11470,양천구,10200,목동,디에스에코빌,20241230,25000,34.33,20.0,4.0,2014.0,5,32
2024,11215,광진구,10100,중곡동,신궁전빌라(636-10),20241230,46000,68.58,31.0,2.0,2000.0,11,49
2024,11545,금천구,10300,시흥동,시흥동월드메르디앙,20241230,35000,59.88,0.0,1.0,2006.0,1,57
2024,11740,강동구,10700,암사동,행복한집(445-14),20241230,39500,41.024,27.0,4.0,2016.0,15,9
2024,11230,동대문구,10600,장안동,양우 내안애 애플,20241230,9000,18.642,28.0209,9.0,2014.0,6,5
2024,11740,강동구,10900,천호동,삼유스위트빌A동,20241230,32000,53.5,35.0,3.0,2003.0,15,14
2024,11230,동대문구,10600,장안동,양우 내안애 애플,20241230,10100,18.642,28.0209,9.0,2014.0,6,5
2024,11530,구로구,10700,개봉동,LG명품빌,20241230,20000,36.46,25.0,4.0,2012.0,7,7
2024,11410,서대문구,11800,홍은동,세신빌라,20241230,12000,47.34,35.0,2.0,1991.0,5,10
2024,11215,광진구,10700,화양동,세종에버그린,20241230,27000,35.49,44.65,3.0,2018.0,11,19
2024,11470,양천구,10300,신월동,엘리시안3차,20241230,13000,25.06,13.0,2.0,2012.0,5,46
2024,11350,노원구,10500,상계동,예림빌라,20241230,8000,33.3,21.0,4.0,1994.0,13,48
2024,11440,마포구,12500,성산동,예림아너스,20241230,56500,66.51,0.0,5.0,2006.0,16,11
2024,11350,노원구,10400,하계동,학여울청구,20241230,87000,113.51,0.0,2.0,1999.0,13,52
2024,11530,구로구,10200,구로동,하이빌골드타워,20241230,31000,41.43,50.77,5.0,2019.0,7,23
2024,11500,강서구,10600,내발산동,동건우장산센트레빌,20241230,29000,42.37,25.0,2.0,2015.0,9,69
2024,11500,강서구,10200,등촌동,돌담,20241230,32000,28.29,21.0,4.0,2012.0,9,45
2024,11380,은평구,10300,불광동,골든팰리스(90-55),20241230,28000,29.93,21.0,5.0,2023.0,13,26
2024,11140,중구,16200,신당동,장충아트빌라,20241230,33500,47.58,25.0,2.0,1994.0,23,86
2024,11500,강서구,10300,화곡동,뷰티쉐르빌353,20241230,22300,26.9,16.0,2.0,2017.0,9,42
2024,11620,관악구,10200,신림동,보라매108동,20241230,30000,59.94,26.0,2.0,2000.0,4,131
2024,11620,관악구,10100,봉천동,벽산블루밍3차,20241230,80500,84.72,0.0,13.0,2004.0,4,112
2024,11650,서초구,10800,서초동,강남태영데시앙루브,20241230,32400,32.57,43.26,7.0,2005.0,12,55
2024,11710,송파구,10800,문정동,문정시영,20241230,61500,39.69,0.0,1.0,1989.0,28,8
2024,11620,관악구,10100,봉천동,국사봉빌라,20241230,14000,48.12,30.0,1.0,1995.0,4,112
